DATE,CLOSE,VOLUME,OPEN,HIGH,LOW
08/11/2020,$437.5,"46,975,590",$447.875,$449.93,$436.4267
08/10/2020,$450.91,"53,100,860",$450.4,$455.1,$440
08/07/2020,$444.45,"49,511,400",$452.82,$454.7,$441.17
08/06/2020,$455.61,"50,607,230",$441.62,$457.65,$439.19
08/05/2020,$440.25,"30,497,990",$437.51,$441.57,$435.59
08/04/2020,$438.66,"43,198,090",$436.53,$443.16,$433.55
08/03/2020,$435.75,"77,037,850",$432.8,$446.5457,$431.57
07/31/2020,$425.04,"93,573,870",$411.535,$425.66,$403.3
07/30/2020,$384.76,"39,532,510",$376.75,$385.19,$375.07
07/29/2020,$380.16,"22,582,310",$375,$380.92,$374.85
07/28/2020,$373.01,"25,906,380",$377.47,$378.1986,$372.99
07/27/2020,$379.24,"30,303,550",$374.84,$379.62,$373.92
07/24/2020,$370.46,"46,359,720",$363.95,$371.88,$356.58
07/23/2020,$371.38,"49,251,110",$387.994,$388.31,$368.039
07/22/2020,$389.09,"22,250,410",$386.77,$391.9,$386.41
07/21/2020,$388,"25,911,460",$396.69,$397,$386.97
07/20/2020,$393.43,"22,579,480",$385.665,$394,$384.25
07/17/2020,$385.31,"23,046,730",$387.95,$388.59,$383.36
07/16/2020,$386.09,"27,644,420",$386.25,$389.62,$383.62
07/15/2020,$390.9,"38,299,480",$395.96,$396.99,$385.96
07/14/2020,$388.23,"42,747,340",$379.36,$389.02,$375.51
07/13/2020,$381.91,"47,912,290",$389.06,$399.82,$381.03
07/10/2020,$383.68,"22,564,330",$381.34,$383.92,$378.8207
07/09/2020,$382.73,"31,410,650",$385.05,$385.27,$378.69
07/08/2020,$381.37,"29,272,970",$376.72,$381.5,$376.36
07/07/2020,$372.69,"28,106,110",$375.41,$378.62,$372.23
07/06/2020,$373.85,"29,663,910",$370,$375.78,$369.87
07/02/2020,$364.11,"28,510,370",$367.85,$370.47,$363.64
07/01/2020,$364.11,"27,684,310",$365.12,$367.36,$363.91
06/30/2020,$364.8,"35,055,820",$360.08,$365.98,$360
06/29/2020,$361.78,"32,661,520",$353.25,$362.1736,$351.28
06/26/2020,$353.63,"51,314,210",$364.41,$365.32,$353.02
06/25/2020,$364.84,"34,380,630",$360.7,$365,$357.57
06/24/2020,$360.06,"48,155,850",$365,$368.79,$358.52
06/23/2020,$366.53,"53,038,870",$364,$372.38,$362.2701
06/22/2020,$358.87,"33,861,320",$351.34,$359.46,$351.15
06/19/2020,$349.72,"66,118,950",$354.635,$356.56,$345.15
06/18/2020,$351.73,"24,205,100",$351.41,$353.45,$349.22
06/17/2020,$351.59,"28,601,630",$355.15,$355.4,$351.09
06/16/2020,$352.08,"41,357,180",$351.46,$353.2,$344.72
06/15/2020,$342.99,"34,702,230",$333.25,$345.68,$332.58
06/12/2020,$338.8,"50,036,510",$344.72,$347.8,$334.2233
06/11/2020,$335.9,"50,415,610",$349.31,$351.06,$335.48
06/10/2020,$352.84,"41,662,940",$347.9,$354.77,$346.09
06/09/2020,$343.99,"36,928,090",$332.14,$345.61,$332.01
06/08/2020,$333.46,"23,913,630",$330.25,$333.6,$327.32
06/05/2020,$331.5,"34,312,550",$323.35,$331.75,$323.23
06/04/2020,$322.32,"21,890,090",$324.39,$325.62,$320.78
06/03/2020,$325.12,"26,122,800",$324.66,$326.2,$322.3
06/02/2020,$323.34,"21,910,700",$320.745,$323.44,$318.93
06/01/2020,$321.85,"20,254,650",$317.75,$322.35,$317.21
05/29/2020,$317.94,"38,399,530",$319.25,$321.15,$316.47
05/28/2020,$318.25,"33,449,100",$316.77,$323.44,$315.63
05/27/2020,$318.11,"28,236,270",$316.14,$318.71,$313.09
05/26/2020,$316.73,"31,380,450",$323.5,$324.24,$316.5
05/22/2020,$318.89,"20,450,750",$315.77,$319.23,$315.35
05/21/2020,$316.85,"25,672,210",$318.66,$320.89,$315.87
05/20/2020,$319.23,"27,876,220",$316.68,$319.52,$316.2
05/19/2020,$313.14,"25,432,390",$315.03,$318.52,$313.01
05/18/2020,$314.96,"33,843,130",$313.17,$316.5,$310.3241
05/15/2020,$307.71,"41,587,090",$300.35,$307.9,$300.21
05/14/2020,$309.54,"39,732,270",$304.51,$309.79,$301.53
05/13/2020,$307.65,"50,155,640",$312.15,$315.95,$303.21
05/12/2020,$311.41,"40,575,260",$317.83,$319.688,$310.91
05/11/2020,$315.01,"36,486,560",$308.1,$317.05,$307.24
05/08/2020,$310.13,"33,511,990",$305.64,$310.35,$304.29
05/07/2020,$303.74,"28,803,760",$303.22,$305.17,$301.97
05/06/2020,$300.63,"35,583,440",$300.46,$303.24,$298.87
05/05/2020,$297.56,"36,937,800",$295.06,$301,$294.46
05/04/2020,$293.16,"33,391,990",$289.17,$293.69,$286.3172
05/01/2020,$289.07,"60,154,180",$286.25,$299,$285.85
04/30/2020,$293.8,"45,765,970",$289.96,$294.53,$288.35
04/29/2020,$287.73,"34,320,200",$284.73,$289.67,$283.89
04/28/2020,$278.58,"28,001,190",$285.08,$285.83,$278.2
04/27/2020,$283.17,"29,271,890",$281.8,$284.54,$279.95
04/24/2020,$282.97,"31,627,180",$277.2,$283.01,$277
04/23/2020,$275.03,"31,203,580",$275.87,$281.75,$274.87
04/22/2020,$276.1,"29,264,340",$273.61,$277.9,$272.2
04/21/2020,$268.37,"45,247,890",$276.28,$277.25,$265.43
04/20/2020,$276.93,"32,503,750",$277.95,$281.68,$276.85
04/17/2020,$282.8,"53,812,480",$284.69,$286.945,$276.86
04/16/2020,$286.69,"39,281,290",$287.38,$288.1975,$282.3502
04/15/2020,$284.43,"32,788,640",$282.4,$286.33,$280.63
04/14/2020,$287.05,"48,748,670",$280,$288.25,$278.05
04/13/2020,$273.25,"32,755,730",$268.31,$273.7,$265.83
04/09/2020,$267.99,"40,529,120",$268.7,$270.07,$264.7
04/08/2020,$266.07,"42,223,820",$262.74,$267.37,$261.23
04/07/2020,$259.43,"50,721,830",$270.8,$271.7,$259
04/06/2020,$262.47,"50,455,070",$250.9,$263.11,$249.38
04/03/2020,$241.41,"32,470,020",$242.8,$245.7,$238.9741
04/02/2020,$244.93,"41,483,490",$240.34,$245.15,$236.9
04/01/2020,$240.91,"44,054,640",$246.5,$248.72,$239.13
03/31/2020,$254.29,"49,250,500",$255.6,$262.49,$252
03/30/2020,$254.81,"41,994,110",$250.74,$255.52,$249.4
03/27/2020,$247.74,"51,054,150",$252.75,$255.87,$247.05
03/26/2020,$258.44,"63,140,170",$246.52,$258.68,$246.36
03/25/2020,$245.52,"75,900,510",$250.75,$258.25,$244.3
03/24/2020,$246.88,"71,882,770",$236.36,$247.69,$234.3
03/23/2020,$224.37,"84,188,210",$228.08,$228.4997,$212.61
03/20/2020,$229.24,"100,423,300",$247.18,$251.83,$228
03/19/2020,$244.78,"67,964,260",$247.385,$252.84,$242.61
03/18/2020,$246.67,"75,058,410",$239.77,$250,$237.12
03/17/2020,$252.86,"81,013,970",$247.51,$257.61,$238.4
03/16/2020,$242.21,"80,605,870",$241.95,$259.08,$240
03/13/2020,$277.97,"92,683,030",$264.89,$279.92,$252.95
03/12/2020,$248.23,"104,618,500",$255.94,$270,$248
03/11/2020,$275.43,"64,094,970",$277.39,$281.22,$271.86
03/10/2020,$285.34,"71,322,520",$277.14,$286.44,$269.37
03/09/2020,$266.17,"71,686,210",$263.75,$278.09,$263
03/06/2020,$289.03,"56,544,250",$282,$290.82,$281.23
03/05/2020,$292.92,"46,893,220",$295.52,$299.55,$291.41
03/04/2020,$302.74,"54,794,570",$296.44,$303.4,$293.13
03/03/2020,$289.32,"79,868,850",$303.67,$304,$285.8
03/02/2020,$298.81,"85,349,340",$282.28,$301.44,$277.72
02/28/2020,$273.36,"106,721,200",$257.26,$278.41,$256.37
02/27/2020,$273.52,"80,151,380",$281.1,$286,$272.96
02/26/2020,$292.65,"49,678,430",$286.53,$297.88,$286.5
02/25/2020,$288.08,"57,668,360",$300.95,$302.53,$286.13
02/24/2020,$298.18,"55,548,830",$297.26,$304.18,$289.23
02/21/2020,$313.05,"32,426,420",$318.62,$320.45,$310.5
02/20/2020,$320.3,"25,141,490",$322.63,$324.65,$318.21
02/19/2020,$323.62,"23,495,990",$320,$324.57,$320
02/18/2020,$319,"38,190,550",$315.36,$319.75,$314.61
02/14/2020,$324.95,"20,028,450",$324.74,$325.98,$322.85
02/13/2020,$324.87,"23,686,890",$324.19,$326.22,$323.35
02/12/2020,$327.2,"28,432,570",$321.47,$327.22,$321.47
02/11/2020,$319.61,"23,580,780",$323.6,$323.9,$318.71
02/10/2020,$321.55,"27,337,220",$314.18,$321.55,$313.85
02/07/2020,$320.03,"29,421,010",$322.37,$323.4,$318
02/06/2020,$325.21,"26,356,390",$322.57,$325.22,$320.2648
02/05/2020,$321.45,"29,706,720",$323.52,$324.76,$318.95
02/04/2020,$318.85,"34,154,130",$315.31,$319.64,$313.6345
02/03/2020,$308.66,"43,496,400",$304.3,$313.49,$302.22
01/31/2020,$309.51,"49,897,100",$320.93,$322.68,$308.29
01/30/2020,$323.87,"31,685,810",$320.544,$324.09,$318.75
01/29/2020,$324.34,"54,149,930",$324.45,$327.85,$321.38
01/28/2020,$317.69,"40,558,490",$312.6,$318.4,$312.19
01/27/2020,$308.95,"40,485,010",$310.06,$311.77,$304.88
01/24/2020,$318.31,"36,634,380",$320.25,$323.33,$317.5188
01/23/2020,$319.23,"26,117,990",$317.92,$319.56,$315.65
01/22/2020,$317.7,"25,458,120",$318.58,$319.99,$317.31
01/21/2020,$316.57,"27,710,810",$317.19,$319.02,$316
01/17/2020,$318.73,"34,454,120",$316.27,$318.74,$315
01/16/2020,$315.24,"27,207,250",$313.59,$315.7,$312.09
01/15/2020,$311.34,"30,480,880",$311.85,$315.5,$309.55
01/14/2020,$312.68,"40,653,460",$316.7,$317.57,$312.17
01/13/2020,$316.96,"30,521,720",$311.64,$317.07,$311.15
01/10/2020,$310.33,"35,217,270",$310.6,$312.67,$308.25
01/09/2020,$309.63,"42,621,540",$307.235,$310.43,$306.2
01/08/2020,$303.19,"33,090,950",$297.16,$304.4399,$297.156
01/07/2020,$298.39,"27,877,660",$299.84,$300.9,$297.48
01/06/2020,$299.8,"29,644,640",$293.79,$299.96,$292.75
01/03/2020,$297.43,"36,633,880",$297.15,$300.58,$296.5
01/02/2020,$300.35,"33,911,860",$296.24,$300.6,$295.19
12/31/2019,$293.65,"25,247,630",$289.93,$293.68,$289.52
12/30/2019,$291.52,"36,059,610",$289.46,$292.69,$285.22
12/27/2019,$289.8,"36,592,940",$291.12,$293.97,$288.12
12/26/2019,$289.91,"23,334,000",$284.82,$289.98,$284.7
12/24/2019,$284.27,"12,119,710",$284.69,$284.89,$282.9197
12/23/2019,$284,"24,677,880",$280.53,$284.25,$280.3735
12/20/2019,$279.44,"69,032,740",$282.23,$282.65,$278.56
12/19/2019,$280.02,"24,626,950",$279.5,$281.18,$278.95
12/18/2019,$279.74,"29,024,690",$279.8,$281.9,$279.12
12/17/2019,$280.41,"28,575,800",$279.57,$281.77,$278.8
12/16/2019,$279.86,"32,081,110",$277,$280.79,$276.98
12/13/2019,$275.15,"33,432,810",$271.46,$275.3,$270.93
12/12/2019,$271.46,"34,437,040",$267.78,$272.5599,$267.321
12/11/2019,$270.77,"19,723,390",$268.81,$271.1,$268.5
12/10/2019,$268.48,"22,632,380",$268.6,$270.07,$265.86
12/09/2019,$266.92,"32,182,650",$270,$270.8,$264.91
12/06/2019,$270.71,"26,547,490",$267.48,$271,$267.3
12/05/2019,$265.58,"18,661,340",$263.79,$265.89,$262.73
12/04/2019,$261.74,"16,810,390",$261.07,$263.31,$260.68
12/03/2019,$259.45,"29,377,270",$258.31,$259.53,$256.29
12/02/2019,$264.16,"23,693,550",$267.27,$268.25,$263.45
11/29/2019,$267.25,"11,654,360",$266.6,$268,$265.9
11/27/2019,$267.84,"16,386,120",$265.58,$267.98,$265.31
11/26/2019,$264.29,"26,334,880",$266.94,$267.16,$262.5
11/25/2019,$266.37,"21,029,520",$262.71,$266.44,$262.52
11/22/2019,$261.78,"16,331,260",$262.59,$263.18,$260.84
11/21/2019,$262.01,"30,348,780",$263.69,$264.005,$261.18
11/20/2019,$263.19,"26,609,920",$265.54,$266.083,$260.4
11/19/2019,$266.29,"19,069,600",$267.9,$268,$265.3926
11/18/2019,$267.1,"21,700,900",$265.8,$267.43,$264.23
11/15/2019,$265.76,"25,093,670",$263.68,$265.78,$263.01
11/14/2019,$262.64,"22,395,560",$263.75,$264.88,$262.1
11/13/2019,$264.47,"25,817,590",$261.13,$264.78,$261.07
11/12/2019,$261.96,"21,847,230",$261.55,$262.79,$260.92
11/11/2019,$262.2,"20,507,460",$258.3,$262.47,$258.28
11/08/2019,$260.14,"17,520,500",$258.69,$260.44,$256.85
11/07/2019,$259.43,"23,735,080",$258.74,$260.35,$258.11
11/06/2019,$257.24,"18,966,120",$256.77,$257.49,$255.365
11/05/2019,$257.13,"19,974,430",$257.05,$258.19,$256.32
11/04/2019,$257.5,"25,817,950",$257.33,$257.845,$255.38
11/01/2019,$255.82,"37,781,330",$249.54,$255.93,$249.16
10/31/2019,$248.76,"34,790,520",$247.24,$249.17,$237.26
10/30/2019,$243.26,"31,130,520",$244.76,$245.3,$241.21
10/29/2019,$243.29,"35,709,870",$248.97,$249.75,$242.57
10/28/2019,$249.05,"24,143,240",$247.42,$249.25,$246.72
10/25/2019,$246.58,"18,369,300",$243.16,$246.73,$242.88
10/24/2019,$243.58,"17,916,260",$244.51,$244.8,$241.805
10/23/2019,$243.18,"19,932,550",$242.1,$243.24,$241.22
10/22/2019,$239.96,"22,684,000",$241.16,$242.2,$239.6218
10/21/2019,$240.51,"22,367,480",$237.52,$240.99,$237.32
10/18/2019,$236.41,"24,377,170",$234.59,$237.58,$234.29
10/17/2019,$235.28,"17,272,900",$235.09,$236.15,$233.52
10/16/2019,$234.37,"19,286,690",$233.37,$235.24,$233.2
10/15/2019,$235.32,"23,040,480",$236.39,$237.65,$234.88
10/14/2019,$235.87,"24,413,480",$234.9,$238.1342,$234.6701
10/11/2019,$236.21,"41,990,210",$232.95,$237.64,$232.3075
10/10/2019,$230.09,"28,962,980",$227.93,$230.44,$227.3
10/09/2019,$227.03,"19,029,420",$227.03,$227.79,$225.64
10/08/2019,$224.4,"29,282,700",$225.82,$228.06,$224.33
10/07/2019,$227.06,"30,889,270",$226.27,$229.93,$225.84
10/04/2019,$227.01,"34,755,550",$225.64,$227.49,$223.89
10/03/2019,$220.82,"30,352,690",$218.43,$220.96,$215.132
10/02/2019,$218.96,"35,767,260",$223.06,$223.58,$217.93
10/01/2019,$224.59,"36,187,160",$225.07,$228.22,$224.2
09/30/2019,$223.97,"26,318,580",$220.9,$224.58,$220.79
09/27/2019,$218.82,"25,361,290",$220.54,$220.96,$217.2814
09/26/2019,$219.89,"19,088,310",$220,$220.94,$218.83
09/25/2019,$221.03,"22,481,010",$218.55,$221.5,$217.1402
09/24/2019,$217.68,"31,434,370",$221.03,$222.49,$217.19
09/23/2019,$218.72,"19,419,650",$218.95,$219.84,$217.65
09/20/2019,$217.73,"57,977,090",$221.38,$222.56,$217.473
09/19/2019,$220.96,"22,187,880",$222.01,$223.76,$220.37
09/18/2019,$222.77,"25,643,090",$221.06,$222.85,$219.44
09/17/2019,$220.7,"18,386,470",$219.96,$220.82,$219.12
09/16/2019,$219.9,"21,158,140",$217.73,$220.13,$217.56
09/13/2019,$218.75,"39,763,300",$220,$220.79,$217.02
09/12/2019,$223.085,"32,226,670",$224.8,$226.42,$222.86
09/11/2019,$223.59,"44,289,650",$218.07,$223.71,$217.73
09/10/2019,$216.7,"31,777,930",$213.86,$216.78,$211.71
09/09/2019,$214.17,"27,309,400",$214.84,$216.44,$211.07
09/06/2019,$213.26,"19,362,290",$214.05,$214.42,$212.51
09/05/2019,$213.28,"23,946,880",$212,$213.97,$211.51
09/04/2019,$209.19,"19,216,820",$208.39,$209.48,$207.32
09/03/2019,$205.7,"20,059,570",$206.43,$206.98,$204.22
08/30/2019,$208.74,"21,162,560",$210.16,$210.45,$207.2
08/29/2019,$209.01,"21,007,650",$208.5,$209.32,$206.655
08/28/2019,$205.53,"15,957,630",$204.1,$205.72,$203.32
08/27/2019,$204.16,"25,897,340",$207.86,$208.55,$203.53
08/26/2019,$206.49,"26,066,130",$205.86,$207.19,$205.0573
08/23/2019,$202.64,"46,882,840",$209.43,$212.051,$201
08/22/2019,$212.46,"22,267,820",$213.19,$214.435,$210.75
08/21/2019,$212.64,"21,564,750",$212.99,$213.65,$211.6032
08/20/2019,$210.36,"26,919,530",$210.88,$213.35,$210.32
08/19/2019,$210.35,"24,431,920",$210.62,$212.7307,$210.025
08/16/2019,$206.5,"28,813,620",$204.28,$207.16,$203.84
08/15/2019,$201.74,"27,883,360",$203.46,$205.14,$199.67
08/14/2019,$202.75,"36,547,440",$203.16,$206.44,$202.5869
08/13/2019,$208.97,"47,539,790",$201.02,$212.14,$200.83
